Func,BestScore,AvgCurveEnd,SuccessRuns,RunMax,AvgTime(s)
F1,1.000000e+02,1.000000e+02,30,30,3.63
F3,3.000000e+02,3.000000e+02,30,30,3.31
F4,4.000000e+02,4.401772e+02,30,30,3.35
F5,5.129345e+02,5.223337e+02,30,30,3.78
F6,6.000000e+02,6.000000e+02,30,30,4.28
F7,7.430980e+02,7.536803e+02,30,30,3.78
F8,8.119395e+02,8.209283e+02,30,30,3.75
F9,9.000000e+02,9.001416e+02,30,30,4.04
F10,1.826307e+03,2.874446e+03,30,30,4.36
F11,1.109950e+03,1.134199e+03,30,30,3.09
F12,2.131797e+03,1.003168e+04,30,30,3.41
F13,1.344521e+03,3.142296e+03,30,30,3.28
F14,1.442056e+03,1.473058e+03,30,30,3.02
F15,1.509259e+03,1.582987e+03,30,30,2.95
F16,1.629367e+03,1.951243e+03,30,30,3.31
F17,1.715961e+03,1.745938e+03,30,30,5.28
F18,1.846710e+03,1.059580e+04,30,30,4.13
F19,1.915646e+03,1.959816e+03,30,30,8.86
F20,2.002524e+03,2.091193e+03,30,30,4.52
F21,2.314656e+03,2.325502e+03,30,30,4.65
F22,2.300000e+03,2.429017e+03,30,30,5.26
F23,2.658346e+03,2.674298e+03,30,30,5.66
F24,2.831177e+03,2.847949e+03,30,30,6.25
F25,2.886747e+03,2.887295e+03,30,30,4.88
F26,3.657054e+03,3.848507e+03,30,30,5.56
F27,3.196481e+03,3.210668e+03,30,30,5.11
F28,3.100000e+03,3.145197e+03,30,30,4.53
F29,3.280092e+03,3.368409e+03,30,30,4.68
F30,4.971099e+03,5.154905e+03,30,30,8.20
