Func,Best,Median,Mean,Std,SuccessRuns,AvgTime(s)
F10,2.400156e+03,2.483746e+03,2.483746e+03,N/A,30,2.021
F11,2.900000e+03,2.900000e+03,2.900000e+03,N/A,30,2.269
F12,2.931951e+03,2.938047e+03,2.938047e+03,N/A,30,2.305
F1,3.000000e+02,3.000000e+02,3.000000e+02,N/A,30,1.202
F2,4.000180e+02,4.455345e+02,4.455345e+02,N/A,30,1.368
F3,6.000000e+02,6.000000e+02,6.000000e+02,N/A,30,1.640
F4,8.059698e+02,8.160196e+02,8.160196e+02,N/A,30,1.434
F5,9.000000e+02,9.000333e+02,9.000333e+02,N/A,30,1.363
F6,1.810017e+03,1.876216e+03,1.876216e+03,N/A,30,1.359
F7,2.001320e+03,2.013419e+03,2.013419e+03,N/A,30,2.257
F8,2.219845e+03,2.220893e+03,2.220893e+03,N/A,30,2.108
F9,2.480781e+03,2.480781e+03,2.480781e+03,N/A,30,2.118
