Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
1,iPWO,100,100,100,0,NaN,0
1,SHADE,100,100,100,1.04428028583208e-14,5.97428453169172e-21,1
1,SHADE_ECR_OED,100,100,100,6.96186857221385e-15,1.19250895995493e-22,1
1,PWO,343.0225410714,6880076988.01041,8941393100.27341,9468589437.87691,1.39058869614246e-20,1
3,iPWO,300,300.000000001158,300.000000572422,2.65103551407518e-06,NaN,0
3,SHADE,300,300,300,1.24796874843583e-13,1.72545712106091e-16,0
3,SHADE_ECR_OED,300,300,300,7.49816192539636e-14,8.90419484854165e-17,0
3,PWO,301.077665490736,305.594375476464,6589.68558879701,17219.8085921293,3.30368150166619e-18,1
4,iPWO,400.000010334301,458.561557302385,447.811014979657,23.7202695869359,NaN,0
4,SHADE,400.00000000001,458.561557302385,447.110822793034,24.4894681612414,0.000171205901638985,1
4,SHADE_ECR_OED,400,458.561557302385,446.927726576059,24.3656406067735,0.000764091269533043,1
4,PWO,473.73812099491,658.782087456322,1095.16385154702,1128.48211709919,6.53319143302946e-19,1
5,iPWO,506.964713434581,519.05543227932,520.223790821451,4.74656089478317,NaN,0
5,SHADE,515.321611206898,524.026490670807,524.271129356367,4.66198073036981,5.14151078256418e-05,1
5,SHADE_ECR_OED,510.944549628029,522.884048237508,524.188674430714,5.08478321963523,9.5408741202785e-05,1
5,PWO,718.934749392244,817.395984728824,810.395123616369,21.1142295357762,3.30296541538692e-18,1
6,iPWO,600,600,600.000000026769,1.54420361617483e-07,NaN,0
6,SHADE,600,600.000000326988,600.00000139178,2.38412345031706e-06,2.27421384470683e-15,1
6,SHADE_ECR_OED,600,600,600.000000251591,1.19025181466741e-06,0.000341259046859708,0
6,PWO,654.081366489504,664.783238469405,665.450855487244,3.37471977554636,3.83658370445237e-20,1
7,iPWO,743.873048729258,751.30077468918,752.120019959301,5.33031812667408,NaN,0
7,SHADE,746.596694204363,753.950667212515,754.287678342796,4.01600899313591,0.014572269650441,1
7,SHADE_ECR_OED,745.446790145568,753.40259992397,754.211369734722,4.9923107167219,0.0355962118814458,1
7,PWO,1118.84319513552,1319.60795381597,1313.28100879925,42.0275530339676,3.30368150166619e-18,1
8,iPWO,811.941258443727,820.894140651998,820.584686883256,4.27045329046187,NaN,0
8,SHADE,815.20377074481,823.246301584087,823.065927826673,4.76598728061981,0.0135258160951835,1
8,SHADE_ECR_OED,812.934467742213,822.884048237508,823.742440921657,5.30236392016047,0.00570233494194325,1
8,PWO,900.507045579168,1017.92747104705,1006.42603871693,28.7908165258455,3.30296541538692e-18,1
9,iPWO,900,900,900.005266367672,0.0212750825224537,NaN,0
9,SHADE,900,900,900.093956404659,0.162336661463473,5.15894004824837e-09,1
9,SHADE_ECR_OED,900,900,900.092200948769,0.163850006562866,1.31324029112847e-08,1
9,PWO,4505.99838928592,5444.89856710158,5595.38880322253,621.892993447077,3.83347979594347e-20,1
10,iPWO,1605.3046289514,2749.71049879794,2689.56712276621,377.216602395701,NaN,0
10,SHADE,2556.25612811517,3320.3370877723,3290.18843596414,268.536639337781,9.71918676135407e-13,1
10,SHADE_ECR_OED,1946.01403254878,3210.93868469725,3151.91423092601,370.949986922872,5.92357492443532e-08,1
10,PWO,4152.31024142736,5414.94689538868,5494.86746660162,666.727570772607,3.30368150166619e-18,1
11,iPWO,1102.13566969113,1112.94125261856,1126.07408544785,27.6733981399321,NaN,0
11,SHADE,1105.16280818769,1140.04795512574,1148.34227433883,30.170389333733,7.32060295641105e-07,1
11,SHADE_ECR_OED,1105.0287689239,1126.86511276308,1135.96555670763,24.8345868511038,7.02276719776948e-05,1
11,PWO,1148.02122928117,1183.80216395956,1196.51678308802,36.8168335883714,9.25199585907625e-13,1
12,iPWO,1632.33280577152,7164.09720286818,8713.78672381193,6337.29288290471,NaN,0
12,SHADE,1613.0074479914,4258.05999166776,6902.67173944733,5622.76317658022,0.0461054334901055,0
12,SHADE_ECR_OED,1829.51381666838,5366.36008473611,7442.94572241124,6012.25006200537,0.180719991874204,0
12,PWO,1552149.09208474,6270977.61732529,272192032.325937,1364394254.37214,3.30368150166619e-18,1
13,iPWO,1321.64809353948,1346.98282174644,1369.1832135782,83.0188214119005,NaN,0
13,SHADE,1328.90649803105,1401.83707509942,1483.67259295168,240.156419545028,6.60330811392461e-07,1
13,SHADE_ECR_OED,1320.89412015186,1382.79162741414,1417.13360816182,119.214962524418,0.000136269440185974,1
13,PWO,30641.6761644891,83376.0882963755,120858197.872778,615664683.481957,3.30368150166619e-18,1
14,iPWO,1423.05784375952,1443.9488026442,1445.90741921763,13.0578890046986,NaN,0
14,SHADE,1437.91287776422,1498.63334560657,1501.52567770939,31.4229563214797,4.99734400698211e-16,1
14,SHADE_ECR_OED,1440.91486747258,1489.64931799697,1495.31727488796,33.0370637808036,5.40618141005954e-15,1
14,PWO,3479.07392237596,20105.0267088714,63940.7227698999,184141.856746898,3.30368150166619e-18,1
15,iPWO,1504.45059717861,1523.153470508,1527.85948539632,16.8920345587405,NaN,0
15,SHADE,1513.262533227,1585.85005578425,1604.77316956029,74.0082345648208,2.67387866303661e-12,1
15,SHADE_ECR_OED,1518.19671660671,1590.70248775579,1613.66126257788,74.7073873212877,4.15441221681036e-14,1
15,PWO,9135.51410834426,21858.0624399897,33426680.3609061,114859984.208992,3.30368150166619e-18,1
16,iPWO,1625.87657888897,1953.47016267481,1914.51683963899,144.543663530994,NaN,0
16,SHADE,1635.31350113002,2019.63475593157,2019.96110115186,142.359693605867,0.000464759339054147,1
16,SHADE_ECR_OED,1661.71725526805,2006.22417077354,2011.40194968705,137.352333704357,0.000818818844398787,1
16,PWO,2306.45372193289,3573.85166929696,3615.11852179224,493.066831717863,3.30368150166619e-18,1
17,iPWO,1712.08837325978,1735.46157566665,1734.34915460713,12.4359416040214,NaN,0
17,SHADE,1740.00523408675,1772.37439617161,1791.23457570027,47.2119671508085,1.75367208428631e-15,1
17,SHADE_ECR_OED,1730.44950487006,1771.94063865567,1791.43211295145,48.1791255346024,4.60849589758985e-15,1
17,PWO,2049.51867994926,2839.98514759247,2788.24604635824,316.840742911658,3.30368150166619e-18,1
18,iPWO,1837.80661780034,2048.11558004824,11361.3522781705,29413.4042774946,NaN,0
18,SHADE,1837.72987299397,1917.7525429135,1960.09326867646,213.374787878309,8.08034184447029e-05,0
18,SHADE_ECR_OED,1831.47744066611,1912.36144999416,1941.40482742747,119.196933367905,5.60122789860465e-05,0
18,PWO,39449.9915277823,197382.847122805,468965.299908671,1316917.84521992,2.01291247758518e-17,1
