Dim,Func,Variant,Best,Median,Mean,Std,p_vs_iPWO,iPWO_better
10,1,iPWO,100,100,100,0,NaN,0
10,1,noECR,100,100,100,0,NaN,0
10,1,noOED,100,100,100,0,NaN,0
10,1,noNAS,100,100,100,0,NaN,0
10,1,PWO,118.210254619864,4990.41899281241,180156106.779633,890099743.05236,1.39058869614246e-20,1
10,3,iPWO,300,300,300,0,NaN,0
10,3,noECR,300,300,300,0,NaN,0
10,3,noOED,300,300,300,0,NaN,0
10,3,noNAS,300,300,300,0,NaN,0
10,3,PWO,300.013242098636,300.049052251836,300.050685896153,0.0242121174502454,1.39058869614246e-20,1
10,4,iPWO,400,400,400,0,NaN,0
10,4,noECR,400,400,400,0,NaN,0
10,4,noOED,400,400,400,0,NaN,0
10,4,noNAS,400,400,400,0,NaN,0
10,4,PWO,400.100998583347,406.385174739202,429.844825480532,54.2856751083623,1.39058869614246e-20,1
10,5,iPWO,500.000000000193,501.989918114187,501.724597605763,0.886686476855042,NaN,0
10,5,noECR,500.000000000193,501.989918114187,501.724597605763,0.886686476855042,1,0
10,5,noOED,500,501.993209306618,501.909532474632,0.997934440967497,0.0191048796665028,1
10,5,noNAS,500.000000771269,501.989918114187,501.898362329949,0.897546544308943,0.503021260944413,0
10,5,PWO,529.868332300076,574.630582113605,572.971966170458,21.864408791328,3.03199350615851e-18,1
10,6,iPWO,600,600,600,0,NaN,0
10,6,noECR,600,600,600,0,NaN,0
10,6,noOED,600,600,600,0,NaN,0
10,6,noNAS,600,600,600,0,NaN,0
10,6,PWO,617.893461617271,648.204295973913,646.447607770823,12.5064246444627,1.39058869614246e-20,1
10,7,iPWO,710.435888175787,711.670229423733,711.829686550562,0.74631346693541,NaN,0
10,7,noECR,710.435888175787,711.64060610014,711.801554697884,0.738734744013524,0.856582175838247,0
10,7,noOED,710.83831078381,712.831425776918,712.722034914883,1.0144387330267,8.29817359520107e-06,1
10,7,noNAS,710.643104838193,711.857724022538,711.951165336518,0.764283500726298,0.45754796874981,0
10,7,PWO,761.842520836443,815.79118831689,815.429920832658,16.1106190119117,3.30368150166619e-18,1
10,8,iPWO,800,801.989918114187,801.917448788655,1.3029639367267,NaN,0
10,8,noECR,800,801.989918114187,801.917448788655,1.3029639367267,1,0
10,8,noOED,800,801.989918227012,801.815775325075,1.09830789019394,0.261550338348085,0
10,8,noNAS,800,801.989918114187,801.719122197064,1.1991670484214,0.504766207822461,0
10,8,PWO,816.919923008498,837.816060998653,836.32617590922,6.91198829116895,3.07586434500075e-18,1
10,9,iPWO,900,900,900,0,NaN,0
10,9,noECR,900,900,900,0,NaN,0
10,9,noOED,900,900,900,0,NaN,0
10,9,noNAS,900,900,900,0,NaN,0
10,9,PWO,1174.15902022579,1770.47809173308,1726.83549796114,171.990854351433,1.39058869614246e-20,1
10,10,iPWO,1000.18972864459,1006.89237581642,1009.12839467835,17.1223477192092,NaN,0
10,10,noECR,1000.18972864459,1006.89237581642,1009.12839467835,17.1223477192092,1,0
10,10,noOED,1000.91930653638,1010.56920367515,1020.18768173672,29.4610507630717,0.000360798181686423,1
10,10,noNAS,1000.18736402491,1006.89876675157,1012.64560619547,24.8080442903918,0.611000549222366,0
10,10,PWO,1015.31035726393,2104.22437668858,2125.33613582732,239.872713775694,3.94235734471964e-18,1
10,11,iPWO,1100,1100,1100.44629397548,0.590152478762935,NaN,0
10,11,noECR,1100,1100,1100.44629397548,0.590152478762935,1,0
10,11,noOED,1100,1100,1100.31850704513,0.49928683841685,0.298415123388557,0
10,11,noNAS,1100,1100,1100.31800598277,0.462837237224283,0.312852372443122,0
10,11,PWO,1121.72470939198,1218.08054368377,1502.11877016354,1079.6472800255,1.35483674953733e-18,1
10,12,iPWO,1200,1319.73787261577,1312.10393035331,97.9845090955185,NaN,0
10,12,noECR,1200,1319.73787261577,1312.10393035331,97.9845090955185,0.946560953123585,0
10,12,noOED,1200.20814298465,1319.73787261577,1315.65253944888,87.9318251400726,0.927951564360403,0
10,12,noNAS,1200,1329.81943268326,1326.30694546697,99.4275434948128,0.42937973282362,0
10,12,PWO,5270.65364508643,540104.734659412,880928.61082364,1084094.25864628,3.25602774842165e-18,1
10,13,iPWO,1300,1305.58412421766,1304.83532115621,2.49526494469421,NaN,0
10,13,noECR,1300,1305.58412421766,1304.83532115621,2.4952649446942,0.986621715318113,0
10,13,noOED,1300,1305.02713587868,1304.14068228014,2.48991865746571,0.120836001673308,0
10,13,noNAS,1300,1305.39412527004,1304.74119065623,2.32539431548049,0.641150890566613,0
