Func,iPWO_med,PWO_med,iPWO_mean,PWO_mean
1,100,1166068228.74435,100,5529264783.21576
4,458.561557302385,629.553965440598,444.386035173992,1055.5087259509
5,518.275858817757,815.407762134659,519.078038286142,805.351457588792
6,600,664.84185876363,600.000000006412,664.16275657423
7,750.675269374689,1329.67204088029,750.979746824521,1315.68785924953
8,819.899174430933,1016.64770396308,820.51197877162,1008.06215420012
9,900,5442.85806147198,900.001755455891,5504.88640726711
10,2599.82187263086,5620.18801562141,2663.11630496842,5637.78892340944
15,1524.6832388667,23150.2183358549,1533.95866900262,449978.030716618
21,2323.57067264063,2618.86658369717,2323.18856667364,2624.21141553763
