theta,rho
0.2000,1.0000
0.2000,1.1000
0.2000,1.2000
0.2000,1.3000
0.2000,1.4000
0.2000,1.5000
0.2500,1.0000
0.2500,1.1000
0.2500,1.2000
0.2500,1.3000
0.2500,1.4000
0.2500,1.5000
0.3000,1.0000
0.3000,1.1000
0.3000,1.2000
0.3000,1.3000
0.3000,1.4000
0.3000,1.5000
0.3500,1.0000
0.3500,1.1000
0.3500,1.2000
0.3500,1.3000
0.3500,1.4000
0.3500,1.5000
0.4000,1.0000
0.4000,1.1000
0.4000,1.2000
0.4000,1.3000
0.4000,1.4000
0.4000,1.5000
0.4500,1.0000
0.4500,1.1000
0.4500,1.2000
0.4500,1.3000
0.4500,1.4000
0.4500,1.5000
